timestamp,gun_id,rank,point
1765172917.69054,1021,19,16018590
1765172917.69054,1048,20,15746165
1765172917.69054,1032,21,15700654
1765172917.69054,1029,22,15672450
1765172917.69054,1035,23,15548096
1765172917.69054,1008,24,15433998
1765172917.69054,1022,25,15339771
1765172917.69054,1001,26,15295542
1765172917.69054,1033,27,15294260
1765172917.69054,1009,28,15223750
1765172917.69054,1037,29,15223109
1765172917.69054,1015,30,15189777
1765172917.69054,1023,31,15076320
1765172917.69054,1045,32,15035296
1765172917.69054,1024,33,14944915
1765172917.69054,1050,34,14841714
1765172917.69054,1053,35,14841714
1765172917.69054,1026,36,14821843
1765172917.69054,1043,37,14803254
1765172917.69054,1040,38,14761589
1765172917.69054,1038,39,14740436
1765172917.69054,1041,40,14710950
1765172917.69054,1036,41,14707104
1765177119.6205342,1052,1,70442816
1765177119.6205342,1017,2,44674704
1765177119.6205342,1056,3,27975804
1765177119.6205342,1034,4,21985018
1765177119.6205342,1025,5,20544050
1765177119.6205342,1047,6,19610754
1765177119.6205342,1039,7,18825529
1765177119.6205342,1044,8,18767198
1765177119.6205342,1013,9,18237732
1765177119.6205342,1064,10,17923001
1765177119.6205342,1055,11,17551862
1765177119.6205342,1051,12,17003807
1765177119.6205342,1042,13,16523057
1765177119.6205342,1028,14,16473059
1765177119.6205342,1057,15,16457675
1765177119.6205342,1027,16,16298707
1765177119.6205342,1059,17,16223710
1765177119.6205342,1054,18,16121150
1765177119.6205342,1021,19,16100638
1765177119.6205342,1048,20,15816675
1765177119.6205342,1032,21,15767959
1765177119.6205342,1029,22,15741037
1765177119.6205342,1035,23,15614760
1765177119.6205342,1008,24,15500021
1765177119.6205342,1022,25,15405153
1765177119.6205342,1001,26,15363488
1765177119.6205342,1033,27,15360924
1765177119.6205342,1009,28,15289773
1765177119.6205342,1037,29,15287209
1765177119.6205342,1015,30,15255800
1765177119.6205342,1023,31,15141702
1765177119.6205342,1045,32,15098755
1765177119.6205342,1024,33,15010297
1765177119.6205342,1053,34,14907737
1765177119.6205342,1050,35,14907737
1765177119.6205342,1026,36,14887866
1765177119.6205342,1043,37,14869277
1765177119.6205342,1040,38,14826330
1765177119.6205342,1038,39,14804536
1765177119.6205342,1041,40,14775691
1765177119.6205342,1036,41,14771204
1765179974.7247024,1052,1,70699128
1765179974.7247024,1017,2,45003452
1765179974.7247024,1056,3,28068108
1765179974.7247024,1034,4,22065143
1765179974.7247024,1025,5,20611355
1765179974.7247024,1047,6,19679341
1765179974.7247024,1039,7,18895398
1765179974.7247024,1044,8,18843477
1765179974.7247024,1013,9,18305678
1765179974.7247024,1064,10,17996716
